year,scheme,profit_bn,energy_sold_gwh,energy_bought_gwh,capacity_factor,mean_buy_per_mwh,mean_sell_per_mwh,share_of_ceiling
2022,S1 perfect foresight,0.8855687914360838,5146.595999999981,6683.890909090923,0.26705043586550337,101.39015968119034,307.7443696766707,1.0
2022,S2 rule of thumb,0.2683656431459055,1547.7460000000005,2010.059740259741,0.08031060606060608,22.54256792583328,206.66733131643917,0.3030432482954938
2022,S3 forecaster,0.467223089982,3410.0,4428.6,0.1769406392694064,64.2839434314456,224.50174834677418,0.5275966074011338
2023,S1 perfect foresight,0.7144345606514213,5744.9679999999835,7460.997402597432,0.29809921129099126,38.843368107026485,178.80425116486026,1.0
2023,S2 rule of thumb,0.4375882013470806,2375.1000000000045,3084.54545454546,0.12324097135740995,38.39286404069865,238.10076864586685,0.6124958469927431
2023,S3 forecaster,0.603226991763,4838.9,6284.3,0.25108447488584473,48.68601458661533,191.89074236493144,0.8443418403681056
2024,S1 perfect foresight,1.4334277086725182,6528.679999999976,8478.805194805238,0.3378394601755245,40.460756005138514,276.10501615558434,1.0
2024,S2 rule of thumb,1.0163737095985412,3017.084000000001,3918.290909090911,0.1561249793012089,31.780169103020214,382.14580478510936,0.7090512506834362
2024,S3 forecaster,1.3174439625838332,5516.5,7164.3,0.28546220400728595,44.979023198730744,301.23324181754737,0.9190864349928771
2025,S1 perfect foresight,1.1280052291361116,6680.059999999973,8675.402597402635,0.3466199667911983,28.718704249241444,210.15856003898537,1.0
2025,S2 rule of thumb,0.9039544404302876,3587.1790000000046,4658.674025974032,0.18613423619759262,25.221497207254853,288.7511022912157,0.8013743350485933
2025,S3 forecaster,1.0434363415813335,5932.3,7704.4,0.30781963470319634,33.20718227964973,223.01754070708944,0.9250279295074318
